"total_name","total_value","country_name","country_total_cases","country_total_deaths","country_total_recovered"
"Coronavirus Cases:","168,687,886","","","",""
"Deaths:","3,502,648","","","",""
"Recovered:","150,250,146","","","",""
"","","USA","33,947,991","605,236","27,606,460"
"","","India","27,233,249","312,146","24,434,143"
"","","Brazil","16,195,981","452,224","14,648,332"
"","","France","5,609,050","108,879","5,246,228"
"","","Turkey","5,203,385","46,621","5,045,508"
"","","Russia","5,026,168","119,600","4,642,090"
"","","UK","4,467,310","127,739","4,305,971"
"","","Italy","4,197,892","125,501","3,804,246"
"","","Germany","3,664,077","88,264","3,438,800"
"","","Spain","3,652,879","79,801","3,402,258"
"","","Argentina","3,586,736","75,056","3,157,660"
"","","Colombia","3,270,614","85,666","3,063,330"
"","","Poland","2,868,450","73,305","2,630,581"
"","","Iran","2,865,864","79,219","2,379,139"
"","","Mexico","2,399,790","221,960","1,917,958"
"","","Ukraine","2,189,858","49,893","1,990,051"
"","","Peru","1,932,255","68,470","1,720,665"
"","","Indonesia","1,791,221","49,771","1,645,263"
"","","Czechia","1,659,433","30,054","1,614,405"
"","","South Africa","1,640,932","55,976","1,543,951"
"","","Netherlands","1,634,138","17,576","1,449,771"
"","","Canada","1,365,516","25,324","1,292,324"
"","","Chile","1,339,421","28,585","1,270,769"
"","","Philippines","1,193,976","20,169","1,127,770"
"","","Iraq","1,181,698","16,267","1,094,140"
"","","Romania","1,076,533","30,092","1,035,902"
"","","Sweden","1,067,107","14,400","938,733"
"","","Belgium","1,050,677","24,873","947,199"
"","","Pakistan","908,576","20,465","827,843"
"","","Portugal","846,434","17,022","807,065"
"","","Israel","839,392","6,406","832,554"
"","","Hungary","802,723","29,622","675,082"
"","","Bangladesh","793,693","12,458","733,866"
"","","Jordan","733,198","9,407","712,929"
"","","Japan","725,536","12,497","650,111"
"","","Serbia","711,116","6,811","691,717"
"","","Switzerland","691,119","10,787","641,078"
"","","Austria","642,583","10,566","625,453"
"","","UAE","561,048","1,661","540,886"
"","","Lebanon","538,991","7,690","513,249"
"","","Nepal","535,525","6,845","411,603"
"","","Malaysia","533,367","2,432","464,727"
"","","Morocco","517,423","9,129","505,668"
"","","Saudi Arabia","444,780","7,295","427,462"
"","","Ecuador","420,167","20,227","366,425"
"","","Bulgaria","417,133","17,581","376,126"
"","","Greece","393,583","11,872","359,890"
"","","Slovakia","389,176","12,312","374,239"
"","","Belarus","388,987","2,801","379,265"
"","","Kazakhstan","378,311","3,856","343,788"
"","","Panama","374,937","6,353","362,765"
"","","Bolivia","355,349","14,124","285,170"
"","","Croatia","354,921","7,971","343,838"
"","","Georgia","340,330","4,682","321,928"
"","","Paraguay","338,914","8,591","279,343"
"","","Tunisia","337,529","12,342","298,141"
"","","Azerbaijan","333,097","4,885","322,273"
