"Category","Symptomatic","Asymptomatic"
"Bangalore urban",27395,770926
"Mysuru",33043,51035
"Bellary",23077,32018
"Tumkur",12315,39856
"Dakshina kannada",15286,33724
"Kalaburagi",8493,37169
"Hassan",11055,31163
"Bangalore rural",7757,31057
"Belgaum",15209,20409
"Mandya",13732,21017
"Udupi",13251,20529
"Dharwad",7672,25820
"Shimoga",10432,19186
"Davanagere",12969,14077
"Raichur",9128,14371
"Vijayapura",10133,12838
"Chikkaballapura",6659,15654
"Uttara kannada",8776,12686
"Kolar",4619,15734
"Bidar",5306,14576
"Chikkamagaluru",6366,13344
"Bagalkot",6170,13042
"Koppal",3886,15113
"Chitradurga",7683,9756
"Yadagiri",9271,6644
"Ramanagara",3271,9971
"Haveri",4977,8254
"Gadag",4402,8790
"Kodagu",2226,10313
"Chamarajanagar",3170,9215
