"total_name","total_value","states_name","states_total_confirmed","states_total_recovered","states_total_deaths"
"Active Cases:","17,13,413","","","",""
"Cured/Discharged:","2,63,90,584","","","",""
"Deaths:","3,37,989","","","",""
"Last Total Active Case:","17,93,645","","","",""
"Last Total Cured:","2,61,79,085","","","",""
"Last Total death:","3,35,102","","","",""
"AarogyaApp Download Count:","19,07,00,000","","","",""
"","","Andaman and Nicobar","7043","6781","119"
"","","Andhra Pradesh","1717156","1562229","11132"
"","","Arunachal Pradesh","28018","24083","118"
"","","Assam","420076","364191","3477"
"","","Bihar","709093","691234","5268"
"","","Chandigarh","60288","58276","761"
"","","Chhattisgarh","975141","930389","13117"
"","","Dadra and Nagar Haveli and Daman and Diu","10331","10045","4"
"","","Delhi","1427439","1393673","24402"
"","","Goa","157275","143742","2693"
"","","Gujarat","812063","775958","9873"
"","","Haryana","759039","735910","8461"
"","","Himachal Pradesh","192142","176957","3210"
"","","Jammu and Kashmir","294078","258536","3963"
"","","Jharkhand","338915","326597","5011"
"","","Karnataka","2635122","2312060","30017"
"","","Kerala","2566000","2364210","9222"
"","","Ladakh","18841","17119","191"
"","","Lakshadweep","8335","6833","35"
"","","Maharashtra","5776184","5460589","96751"
"","","Manipur","52278","42404","839"
"","","Meghalaya","36597","29578","616"
"","","Mizoram","12859","9494","45"
"","","Madhya Pradesh","782099","756806","8157"
"","","Nagaland","22072","16841","399"
"","","Odisha","782131","702621","2831"
"","","Puducherry","106299","94566","1567"
"","","Punjab","571970","526089","14748"
"","","Rajasthan","942236","901071","8515"
"","","Sikkim","15876","11513","260"
"","","Tamil Nadu","2148346","1834439","25205"
"","","Telengana","583228","546536","3313"
"","","Tripura","53222","46230","534"
"","","Uttar Pradesh","1693992","1644511","20787"
"","","Uttarakhand","331478","299577","6535"
"","","West Bengal","1394724","1308896","15813"
